# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "--fraction" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "dfir_regions.gff" "-o" "counts/regions_dfir.txt" "star_map_dfir/Dfir-0h-A.bam" "star_map_dfir/Dfir-0h-B.bam" "star_map_dfir/Dfir-0h-C.bam" "star_map_dfir/Dfir-16h-A.bam" "star_map_dfir/Dfir-16h-B.bam" "star_map_dfir/Dfir-16h-C.bam" "star_map_dfir/Dfir-24h-A.bam" "star_map_dfir/Dfir-24h-B.bam" "star_map_dfir/Dfir-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir/Dfir-0h-A.bam	star_map_dfir/Dfir-0h-B.bam	star_map_dfir/Dfir-0h-C.bam	star_map_dfir/Dfir-16h-A.bam	star_map_dfir/Dfir-16h-B.bam	star_map_dfir/Dfir-16h-C.bam	star_map_dfir/Dfir-24h-A.bam	star_map_dfir/Dfir-24h-B.bam	star_map_dfir/Dfir-24h-C.bam
contig_31_np1212:8560001..8562500	contig_31_np1212	8560001	8562500	+	2500	1421.50	681	1437	384.50	313	426	420	384.50	1110.50
contig_31_np1212:8562501..8565000	contig_31_np1212	8562501	8565000	+	2500	0	18.50	1.00	1.17	2.33	8.50	2	6.00	21.75
contig_31_np1212:8565001..8567500	contig_31_np1212	8565001	8567500	+	2500	0	57.83	8.00	9.83	15.17	16.00	5.00	17.00	55.58
contig_31_np1212:8567501..8570000	contig_31_np1212	8567501	8570000	+	2500	5.00	75.08	7.25	32.08	9.83	19.00	11.42	35.00	96.33
contig_31_np1212:8570001..8572500	contig_31_np1212	8570001	8572500	+	2500	50.50	160.58	24.75	112.92	35.17	69.50	41.58	71.00	231.33
contig_31_np1212:8572501..8575000	contig_31_np1212	8572501	8575000	+	2500	4	32.50	2.50	6.33	13.00	14.00	8.50	18.50	23.17
contig_31_np1212:8575001..8577500	contig_31_np1212	8575001	8577500	+	2500	0	40.50	4.50	30.67	17.50	59.00	7.50	21.50	28.33
contig_31_np1212:8577501..8580000	contig_31_np1212	8577501	8580000	+	2500	7.00	93.50	16.50	104.00	37.00	115.00	32.00	53.50	83.00
contig_31_np1212:8580001..8582500	contig_31_np1212	8580001	8582500	+	2500	40392.75	14114.75	23053.75	738.50	398.92	590.00	1445.00	715.50	7754.00
contig_31_np1212:8582501..8585000	contig_31_np1212	8582501	8585000	+	2500	84784.75	32500.00	51588.50	1140.50	498.42	1063	2961.50	1429.50	19017
contig_31_np1212:8585001..8587500	contig_31_np1212	8585001	8587500	+	2500	235.25	1114.50	1023.50	445	740.67	1201	683	507.50	1789
contig_31_np1212:8587501..8590000	contig_31_np1212	8587501	8590000	+	2500	628.50	27.50	90	8744	1178	5292.50	13658	11562.50	6405.50
contig_31_np1212:8590001..8592500	contig_31_np1212	8590001	8592500	+	2500	300.50	438	340	588	224	262.50	815	834	899
contig_31_np1212:8592501..8595000	contig_31_np1212	8592501	8595000	+	2500	881	1238.50	991.50	1478	945	776	1187	834	1613.50
contig_31_np1212:8595001..8597500	contig_31_np1212	8595001	8597500	+	2500	780.75	1246	738.50	715	962.50	515	560	340	1400
contig_31_np1212:8597501..8600000	contig_31_np1212	8597501	8600000	+	2500	13169.75	3126.50	6104.50	15398.50	16474	13800	19087.50	20098	5072
contig_31_np1212:8600001..8602500	contig_31_np1212	8600001	8602500	+	2500	4543	1679	2412.50	1008.50	875.50	828	1373	810.50	1840
contig_31_np1212:8602501..8605000	contig_31_np1212	8602501	8605000	+	2500	2859.50	231.50	378	199.50	117	814.50	1223	297.50	3842
contig_31_np1212:8605001..8607500	contig_31_np1212	8605001	8607500	+	2500	280	140.50	107	235.50	186	340	399	237	1250.50
contig_31_np1212:8607501..8610000	contig_31_np1212	8607501	8610000	+	2500	41498	8070	24297	9204	10116	5807	13774	13717	11417
contig_31_np1212:8610001..8612500	contig_31_np1212	8610001	8612500	+	2500	6	52	8	25	41	455.50	68	270.50	620.50
contig_31_np1212:8612501..8615000	contig_31_np1212	8612501	8615000	+	2500	0	2	0	5	5	116.50	31	48	132.50
contig_31_np1212:8615001..8617500	contig_31_np1212	8615001	8617500	+	2500	175.50	20	54.50	7335.50	147.50	3518	11976.50	5729	1258.50
contig_31_np1212:8617501..8620000	contig_31_np1212	8617501	8620000	+	2500	442.50	479.50	115.50	15530.00	2989	8985.50	27253.50	12654.00	3372
contig_31_np1212:8620001..8622500	contig_31_np1212	8620001	8622500	+	2500	25.50	578.50	18	579.33	4471	334.50	270.50	164	1374
contig_31_np1212:8622501..8625000	contig_31_np1212	8622501	8625000	+	2500	4210	1396	1965.00	1425	3832.00	1375.50	1643	1195	2081
contig_31_np1212:8625001..8627500	contig_31_np1212	8625001	8627500	+	2500	14648.50	2170.00	5558.00	12681.67	10966.50	5834	9335	9753.00	3118
contig_31_np1212:8627501..8630000	contig_31_np1212	8627501	8630000	+	2500	2663.50	548.40	1262.75	3401	1530.50	1428.10	2395.50	2114	1200.70
contig_31_np1212:8630001..8632500	contig_31_np1212	8630001	8632500	+	2500	655	668.50	771	1009	851	696	806	445	1160.50
contig_31_np1212:8632501..8635000	contig_31_np1212	8632501	8635000	+	2500	586	2030.50	576.50	509.50	204	191.50	268.50	138	2064.50
contig_31_np1212:8635001..8637500	contig_31_np1212	8635001	8637500	+	2500	88.90	169.40	72	154	39.50	39.50	36.72	40	145.76
contig_31_np1212:8637501..8640000	contig_31_np1212	8637501	8640000	+	2500	0	0.57	0.49	0	3.15	10.19	1.20	7.51	18.40
contig_31_np1212:8640001..8642500	contig_31_np1212	8640001	8642500	+	2500	0	0.22	0.44	2.40	1.49	5.57	1.56	6.45	20.53
contig_31_np1212:8642501..8645000	contig_31_np1212	8642501	8645000	+	2500	391.27	14469.78	4941.13	2966.64	3557.14	2852.44	2984.99	1327.33	11385.39
contig_31_np1212:8645001..8647500	contig_31_np1212	8645001	8647500	+	2500	470.50	8030.00	2553.00	2154.00	1505.50	1431.67	1796	1016	6334.40
contig_31_np1212:8647501..8650000	contig_31_np1212	8647501	8650000	+	2500	421.50	731.50	221.50	472.50	308.50	236.50	443.50	343.50	1032
contig_31_np1212:8650001..8652500	contig_31_np1212	8650001	8652500	+	2500	337	315.75	272	292.50	329	215.50	307.50	304	535.50
contig_31_np1212:8652501..8655000	contig_31_np1212	8652501	8655000	+	2500	221	1012.25	400.50	693.50	1244	650	595	484	1791.50
contig_31_np1212:8655001..8657500	contig_31_np1212	8655001	8657500	+	2500	104	376.50	158.50	296	164.50	237	259	136	630
contig_31_np1212:8657501..8660000	contig_31_np1212	8657501	8660000	+	2500	298	283.50	296.50	452.50	240	202	294	230.50	368.50
contig_31_np1212:8660001..8662500	contig_31_np1212	8660001	8662500	+	2500	215	125	141.50	338.50	315	153.50	179	137.50	145.50
contig_31_np1212:8662501..8665000	contig_31_np1212	8662501	8665000	+	2500	378	17	166	1237	1001.50	463	331.50	270	296
contig_31_np1212:8665001..8667500	contig_31_np1212	8665001	8667500	+	2500	6.33	2	4	433	244.50	673	805.50	712	476
contig_31_np1212:8667501..8670000	contig_31_np1212	8667501	8670000	+	2500	4351.67	5728	2202	3146	2021.50	1860.75	3210.50	688	11345
contig_31_np1212:8670001..8672500	contig_31_np1212	8670001	8672500	+	2500	2790	711.50	1681	931.50	915.50	646.50	574	541	1165
contig_31_np1212:8672501..8675000	contig_31_np1212	8672501	8675000	+	2500	1674	1382.50	901	1508	2074	1192.25	1081.50	1249.50	1615
contig_31_np1212:8675001..8677500	contig_31_np1212	8675001	8677500	+	2500	145	1319	133	412.50	1259.50	210.50	115.50	55	1828.50
contig_31_np1212:8677501..8680000	contig_31_np1212	8677501	8680000	+	2500	383	433.50	511	429.50	358	285.50	263	167.50	614.50
contig_31_np1212:8680001..8682500	contig_31_np1212	8680001	8682500	+	2500	63	85.50	28	135	180	147	129	73	256.50
contig_31_np1212:8682501..8685000	contig_31_np1212	8682501	8685000	+	2500	5131	5091	4600	523.50	349	669	902	1075	3701.50
contig_31_np1212:8685001..8687500	contig_31_np1212	8685001	8687500	+	2500	6	7	8	3361	4546.50	3852	768.50	5948.50	1306
contig_31_np1212:8687501..8690000	contig_31_np1212	8687501	8690000	+	2500	4842.50	271.50	792	24440.00	16457.50	21143.50	36726.00	13334.50	4288
contig_31_np1212:8690001..8692500	contig_31_np1212	8690001	8692500	+	2500	407	596	277	801	878.50	1845.25	1518.50	675	1103.50
contig_31_np1212:8692501..8695000	contig_31_np1212	8692501	8695000	+	2500	5071.50	11822.75	4344	9092	21990	22470.25	19695.00	7591	17470
contig_31_np1212:8695001..8697500	contig_31_np1212	8695001	8697500	+	2500	528	1707.75	1683	703	1490.50	1864	1005.75	884	3709.25
contig_31_np1212:8697501..8700000	contig_31_np1212	8697501	8700000	+	2500	777.00	7944.21	5181.00	851.00	8698.50	7265.20	2631.00	3387.66	15498.62
contig_31_np1212:8700001..8702500	contig_31_np1212	8700001	8702500	+	2500	2257	473.25	1220	5002.50	36	1052.50	9673.75	3224	5835.50
contig_31_np1212:8702501..8705000	contig_31_np1212	8702501	8705000	+	2500	9396	1842	3439	3234.50	3576	1856	2861.50	1670	1912
contig_31_np1212:8705001..8707500	contig_31_np1212	8705001	8707500	+	2500	674.50	1088.75	412.50	1050	155	539	943	243	1036
contig_31_np1212:8707501..8710000	contig_31_np1212	8707501	8710000	+	2500	1906	799	784	2274.50	2337.50	1518.50	2383.50	1708.50	1356
contig_31_np1212:8710001..8712500	contig_31_np1212	8710001	8712500	+	2500	7679	2060	3597.50	965	1457.50	921	2548.50	1854	1641
contig_31_np1212:8712501..8715000	contig_31_np1212	8712501	8715000	+	2500	252	2689.50	1398	632	1023	1449.62	1122	726.50	4572.50
contig_31_np1212:8715001..8717500	contig_31_np1212	8715001	8717500	+	2500	221	621	277	570	252	590.50	607	648.50	1136
contig_31_np1212:8717501..8720000	contig_31_np1212	8717501	8720000	+	2500	1785.50	1643	2612	697	160.50	550	754	717.50	1595.50
contig_31_np1212:8720001..8722500	contig_31_np1212	8720001	8722500	+	2500	79.50	187.50	38.50	1888.50	351.50	2102	947	395	3147
contig_31_np1212:8722501..8725000	contig_31_np1212	8722501	8725000	+	2500	182	32	144	5173.00	446	956	1397.50	2023	716
contig_31_np1212:8725001..8727500	contig_31_np1212	8725001	8727500	+	2500	58.50	82	96	256	86	180	300.50	203	234.50
contig_31_np1212:8727501..8730000	contig_31_np1212	8727501	8730000	+	2500	22506.50	4234	14118	6824.50	11768.50	5087.50	6421.50	4531.50	6328.50
contig_31_np1212:8730001..8732500	contig_31_np1212	8730001	8732500	+	2500	87.50	382	221	962	207.50	768.50	2315.00	1470	7788.22
contig_31_np1212:8732501..8735000	contig_31_np1212	8732501	8735000	+	2500	15.50	2	0	2708	357	3593	24276.75	16786	111449.32
contig_31_np1212:8735001..8737500	contig_31_np1212	8735001	8737500	+	2500	23	5	43	2569.00	450.00	2446.50	7258.25	3940.00	3168.25
contig_31_np1212:8737501..8740000	contig_31_np1212	8737501	8740000	+	2500	0	0	0	18	2	26	62	46.50	737
contig_31_np1212:8740001..8742500	contig_31_np1212	8740001	8742500	+	2500	26.50	74.50	29.25	932.50	354.50	509.50	1178	853	1627.50
contig_31_np1212:8742501..8745000	contig_31_np1212	8742501	8745000	+	2500	3396.50	2696	1677.25	2932.50	1875	1604.75	4085.50	2919	7144.50
contig_31_np1212:8745001..8747500	contig_31_np1212	8745001	8747500	+	2500	3089	2189.50	1750	1060.50	481	386.75	489	313.50	2235.50
contig_31_np1212:8747501..8750000	contig_31_np1212	8747501	8750000	+	2500	201	845	145.50	4919.00	3138	4019.50	3832.50	1686	4531.00
contig_31_np1212:8750001..8752500	contig_31_np1212	8750001	8752500	+	2500	239	567	118	3236.50	2647	2858.75	2804.00	1005.50	2966
contig_31_np1212:8752501..8755000	contig_31_np1212	8752501	8755000	+	2500	6292.50	827.50	8418.00	34900.00	45784.90	21140.25	24127.75	40909.50	16334.25
contig_31_np1212:8755001..8757500	contig_31_np1212	8755001	8757500	+	2500	20759.00	3639.50	28618.50	112135.75	188010.60	71780.50	84152.25	132612.25	56533.25
contig_31_np1212:8757501..8760000	contig_31_np1212	8757501	8760000	+	2500	1467.50	3743	1461.50	6903.25	2727.50	7657	8705.50	4615.75	7420
contig_31_np1212:8760001..8762500	contig_31_np1212	8760001	8762500	+	2500	89	4.67	9.86	938	35.50	94	1335.50	1066.50	312.50
contig_31_np1212:8762501..8765000	contig_31_np1212	8762501	8765000	+	2500	837.50	1761.50	815.25	143	39	194	308.00	186.50	2248.50
contig_31_np1212:8765001..8767500	contig_31_np1212	8765001	8767500	+	2500	9460.50	3121	7267.11	1217.50	606.50	929.50	1287.50	861	2469.50
contig_31_np1212:8767501..8770000	contig_31_np1212	8767501	8770000	+	2500	16390.00	3757	11887.00	2493	2193.50	1453	2340.50	971.50	1755.00
contig_31_np1212:8770001..8772500	contig_31_np1212	8770001	8772500	+	2500	1015	864	481	969.50	864	1064.50	1646.50	425	989
contig_31_np1212:8772501..8775000	contig_31_np1212	8772501	8775000	+	2500	19318.83	2166.00	8727.50	7375.50	6853.00	6957.92	7145.75	5219.00	3808.25
contig_31_np1212:8775001..8777500	contig_31_np1212	8775001	8777500	+	2500	3480.16	345.50	1709.50	1423.00	443.00	1262.33	2140.25	2554.00	1034.25
contig_31_np1212:8777501..8780000	contig_31_np1212	8777501	8780000	+	2500	735.50	343	437	1147	164.25	614.75	2967.50	8992.00	5122.50
contig_31_np1212:8780001..8782500	contig_31_np1212	8780001	8782500	+	2500	34029.25	16178	27480.50	11330.50	5173.25	6307.50	5298.50	10945.50	10257
contig_31_np1212:8782501..8785000	contig_31_np1212	8782501	8785000	+	2500	73855.25	37870	48785.50	32914	17478.50	12379	14252.50	21800.25	26248
contig_31_np1212:8785001..8787500	contig_31_np1212	8785001	8787500	+	2500	13.50	47	16	3.50	2	8	11	20	57
contig_31_np1212:8787501..8790000	contig_31_np1212	8787501	8790000	+	2500	546.50	561.50	662.00	269.00	52	188.00	213.50	178.75	666.50
contig_31_np1212:8790001..8792500	contig_31_np1212	8790001	8792500	+	2500	208.50	197.50	144.50	641.50	212	599	930.50	788.50	524
contig_31_np1212:8792501..8795000	contig_31_np1212	8792501	8795000	+	2500	867.50	1782.50	1756	7954	11358.50	11420	11915	11211	8407.50
contig_31_np1212:8795001..8797500	contig_31_np1212	8795001	8797500	+	2500	771	1628	1108	6096.50	6666	7671	5518.50	4669.50	5909.50
contig_31_np1212:8797501..8800000	contig_31_np1212	8797501	8800000	+	2500	133	496.50	271.50	1280.50	1920.50	2001	1244.50	1041.50	1357.50
contig_31_np1212:8800001..8802500	contig_31_np1212	8800001	8802500	+	2500	14	3	18	17993	11	3038	11429.75	17451	268.50
contig_31_np1212:8802501..8805000	contig_31_np1212	8802501	8805000	+	2500	2	19.50	0	0	0	0	2.25	0	124
contig_31_np1212:8805001..8807500	contig_31_np1212	8805001	8807500	+	2500	17	3.50	2	11	51	31	23.50	37.00	27.50
contig_31_np1212:8807501..8810000	contig_31_np1212	8807501	8810000	+	2500	13	214.00	22	75	8935.50	5711.20	795.62	3377.00	1407.17
contig_31_np1212:8810001..8812500	contig_31_np1212	8810001	8812500	+	2500	18	198	48	68	438.50	584.50	95.50	210.50	567.50
contig_31_np1212:8812501..8815000	contig_31_np1212	8812501	8815000	+	2500	33	1340.95	249.19	444.75	1794.08	2894.42	1207.83	556.20	3653.00
contig_31_np1212:8815001..8817500	contig_31_np1212	8815001	8817500	+	2500	75	372.25	108.90	211.25	497.25	870.50	387.50	208.50	875.90
contig_31_np1212:8817501..8820000	contig_31_np1212	8817501	8820000	+	2500	40.50	3	14	1729	517.50	991	1492	891.50	417.50
contig_31_np1212:8820001..8822500	contig_31_np1212	8820001	8822500	+	2500	73.50	25	20	4618.50	1741.50	2471	3576.50	2264.50	1034.50
contig_31_np1212:8822501..8825000	contig_31_np1212	8822501	8825000	+	2500	178	148	131	1043	397	785	427.50	820	629.50
contig_31_np1212:8825001..8827500	contig_31_np1212	8825001	8827500	+	2500	51	80.50	33	992	399	682	295	721.50	848
contig_31_np1212:8827501..8830000	contig_31_np1212	8827501	8830000	+	2500	17.50	292	46	3633.50	2609.50	3779	2652	3466	3498.50
contig_31_np1212:8830001..8832500	contig_31_np1212	8830001	8832500	+	2500	42.50	69.50	30.50	2307	1064	1837	1773	1723.50	1259
contig_31_np1212:8832501..8835000	contig_31_np1212	8832501	8835000	+	2500	278.50	26	172	1394.50	121	619	935.50	1153	244
contig_31_np1212:8835001..8837500	contig_31_np1212	8835001	8837500	+	2500	18164.00	2431	8860.50	6539.50	3746.00	2857	2697.50	2670.00	7111.50
contig_31_np1212:8837501..8840000	contig_31_np1212	8837501	8840000	+	2500	35930.50	8772.50	16355.50	3953.50	3221	1131.50	1565.50	984.50	7454
contig_31_np1212:8840001..8842500	contig_31_np1212	8840001	8842500	+	2500	10632.33	4188.50	4110.50	6947.00	1703.50	2720.50	3814	1927.50	6577.50
contig_31_np1212:8842501..8845000	contig_31_np1212	8842501	8845000	+	2500	67.83	262	93	237	181	184	163.50	83	263
contig_31_np1212:8845001..8847500	contig_31_np1212	8845001	8847500	+	2500	2031.83	7283.50	4699	1031	663	715	1272.50	399.50	13265.00
contig_31_np1212:8847501..8850000	contig_31_np1212	8847501	8850000	+	2500	28.50	34.50	6	79.50	27.50	75	59.50	27.50	86
contig_31_np1212:8850001..8852500	contig_31_np1212	8850001	8852500	+	2500	544.50	837	335.50	1136	1318.50	1343	1333	652	2251.50
contig_31_np1212:8852501..8855000	contig_31_np1212	8852501	8855000	+	2500	201	1391	272.50	809	1080.50	826.67	1073.50	445	2487
contig_31_np1212:8855001..8857500	contig_31_np1212	8855001	8857500	+	2500	7839.00	4316.50	3654	8575.50	5129.50	7557.33	10314.50	2442	7484.33
contig_31_np1212:8857501..8860000	contig_31_np1212	8857501	8860000	+	2500	9100.00	2124	4911	677	463.50	485.17	773.50	387.50	2068.17
contig_31_np1212:8860001..8862500	contig_31_np1212	8860001	8862500	+	2500	5243	1305.50	3861.50	2088.50	983	1164.17	2237.50	1694.50	1688.00
contig_31_np1212:8862501..8865000	contig_31_np1212	8862501	8865000	+	2500	416.75	48.75	59.50	416	52.50	221.67	539	350.50	338
contig_31_np1212:8865001..8867500	contig_31_np1212	8865001	8867500	+	2500	86.50	5.50	18	35.50	13	21.50	55.50	49	39
contig_31_np1212:8867501..8870000	contig_31_np1212	8867501	8870000	+	2500	2164.75	1209.75	1148	191	196	157	250	111	690.50
contig_31_np1212:8870001..8872500	contig_31_np1212	8870001	8872500	+	2500	3229.83	3203	3442.50	12076	3715	18597.50	26782	5075.50	4119.50
contig_31_np1212:8872501..8875000	contig_31_np1212	8872501	8875000	+	2500	623.50	742	646.83	2355	256.25	2612.50	3267.50	1068.50	997.94
contig_31_np1212:8875001..8877500	contig_31_np1212	8875001	8877500	+	2500	3958.69	1092.41	4432.80	581.78	168.23	466.66	490.77	367.48	553.08
contig_31_np1212:8877501..8880000	contig_31_np1212	8877501	8880000	+	2500	0	0.22	3.21	0.67	6.89	36.15	6.65	43.49	35.83
contig_31_np1212:8880001..8882500	contig_31_np1212	8880001	8882500	+	2500	3927.69	945.31	4391.90	234.88	129.15	291.83	88.92	203.33	358.20
contig_31_np1212:8882501..8885000	contig_31_np1212	8882501	8885000	+	2500	152.50	350	166	93	59.50	27	4	10	742
contig_31_np1212:8885001..8887500	contig_31_np1212	8885001	8887500	+	2500	43.50	592.50	163	197.50	250	73	24.50	7	1390.50
contig_31_np1212:8887501..8890000	contig_31_np1212	8887501	8890000	+	2500	76.17	171.08	118.50	134.83	96.50	82.83	113.33	51.17	340.00
contig_31_np1212:8890001..8892500	contig_31_np1212	8890001	8892500	+	2500	21.67	70.42	62.00	63.50	30.00	39.17	61.83	36.50	108.50
contig_31_np1212:8892501..8895000	contig_31_np1212	8892501	8895000	+	2500	228.50	201.50	331	34	7	28.50	17.50	10	320.00
contig_31_np1212:8895001..8897500	contig_31_np1212	8895001	8897500	+	2500	170.50	556.50	200	117.75	36	55.50	91.25	39	828
contig_31_np1212:8897501..8900000	contig_31_np1212	8897501	8900000	+	2500	414.50	233	118.75	1589.08	260.50	338	3705.92	415.50	569
contig_31_np1212:8900001..8902500	contig_31_np1212	8900001	8902500	+	2500	4205	3905.50	2134.75	1458	6692.50	640.50	962.50	320.50	2938
contig_31_np1212:8902501..8905000	contig_31_np1212	8902501	8905000	+	2500	2141.50	1773.50	2012.50	1847.17	301	1681.50	3339.83	2718	1731
contig_31_np1212:8905001..8907500	contig_31_np1212	8905001	8907500	+	2500	1192	1064	571.62	2227.12	446	604.25	1001	488	3372.50
contig_31_np1212:8907501..8910000	contig_31_np1212	8907501	8910000	+	2500	927.50	492	377.38	2119.37	600	1608.25	1917.50	1605	1975
contig_31_np1212:8910001..8912500	contig_31_np1212	8910001	8912500	+	2500	2009.75	23241.96	42945.23	27743.19	54801.82	22723.64	18379.75	16463.36	39098.56
contig_31_np1212:8912501..8915000	contig_31_np1212	8912501	8915000	+	2500	2650.75	10565.10	21085.62	13389.37	25134.96	10939.21	8465.87	8056.92	18332.79
contig_31_np1212:8915001..8917500	contig_31_np1212	8915001	8917500	+	2500	3556.50	3756	3699.92	4978	654	418.50	1325.50	579	3243
contig_31_np1212:8917501..8920000	contig_31_np1212	8917501	8920000	+	2500	359.28	225.60	225.98	11560.78	1111.77	686.51	3552.24	1924.75	1351.39
contig_31_np1212:8920001..8922500	contig_31_np1212	8920001	8922500	+	2500	24.42	22.40	34.94	12.17	18.70	17.39	13.49	15.04	18.42
contig_31_np1212:8922501..8925000	contig_31_np1212	8922501	8925000	+	2500	3526	2213.50	2451.50	258	249	105	209.50	246	1681
contig_31_np1212:8925001..8927500	contig_31_np1212	8925001	8927500	+	2500	34	86.50	68.50	40	27	22.29	32.50	12	178.50
contig_31_np1212:8927501..8930000	contig_31_np1212	8927501	8930000	+	2500	8	43.50	16	19	7	32.50	20	5	42.20
contig_31_np1212:8930001..8932500	contig_31_np1212	8930001	8932500	+	2500	840.50	273	485.25	762.50	642	451.90	697.50	340.50	661
contig_31_np1212:8932501..8935000	contig_31_np1212	8932501	8935000	+	2500	2110.50	281	1012.50	1962.50	2434	1027.50	1836	893	706.50
contig_31_np1212:8935001..8937500	contig_31_np1212	8935001	8937500	+	2500	43953	14568.50	35372.75	14610.50	8901.50	9220.25	13487.50	10174.50	16141.50
contig_31_np1212:8937501..8940000	contig_31_np1212	8937501	8940000	+	2500	235.38	475.50	616.75	253	220.50	238	136.50	201.88	488.38
contig_31_np1212:8940001..8942500	contig_31_np1212	8940001	8942500	+	2500	2330.12	4220.00	4836.60	2903.87	2259.00	2262.34	1449.17	1660.52	3479.17
contig_31_np1212:8942501..8945000	contig_31_np1212	8942501	8945000	+	2500	230.50	854.50	440.50	2901.33	1100.50	2544	3645.50	1012	1742.70
contig_31_np1212:8945001..8947500	contig_31_np1212	8945001	8947500	+	2500	580.50	451.50	359.50	9455.50	1265.50	2853	6109	2267	1313.50
contig_31_np1212:8947501..8950000	contig_31_np1212	8947501	8950000	+	2500	1619	2259.75	1797	301.50	221	222.25	341.50	188.50	1741
contig_31_np1212:8950001..8952500	contig_31_np1212	8950001	8952500	+	2500	3035.50	14890.25	5429	1536.08	22273.00	7219.75	7270.00	8054.25	14455.25
contig_31_np1212:8952501..8955000	contig_31_np1212	8952501	8955000	+	2500	745	187	208	873	575.50	774	991	547.50	561.75
contig_31_np1212:8955001..8957500	contig_31_np1212	8955001	8957500	+	2500	1593	24765	36257.50	4982.42	17269.50	4640	3019.50	4284.75	16916.00
contig_31_np1212:8957501..8960000	contig_31_np1212	8957501	8960000	+	2500	3120	978	2148.50	9724.50	891	1691.50	8220	4674	2199.50
contig_31_np1212:8960001..8962500	contig_31_np1212	8960001	8962500	+	2500	29	6	12	2482	482	602.50	708.50	1630	1922.50
contig_31_np1212:8962501..8965000	contig_31_np1212	8962501	8965000	+	2500	162	233	178	491	476.50	213.50	209	248.50	472.50
contig_31_np1212:8965001..8967500	contig_31_np1212	8965001	8967500	+	2500	421	1659.50	592	925	2453	2574.50	1040.50	916.50	4587
contig_31_np1212:8967501..8970000	contig_31_np1212	8967501	8970000	+	2500	4	1459	262	129.50	2221.50	2533.22	453.50	601	4859.50
contig_31_np1212:8970001..8972500	contig_31_np1212	8970001	8972500	+	2500	1092.00	640	635.50	3230	2138.50	3851.50	4836	1265	2251.50
contig_31_np1212:8972501..8975000	contig_31_np1212	8972501	8975000	+	2500	1400.17	690.50	947.65	4898.93	2061.50	3823.50	5878.00	2413.25	2995.37
contig_31_np1212:8975001..8977500	contig_31_np1212	8975001	8977500	+	2500	12.50	1	6.50	217.50	6	10	60	171	80
contig_31_np1212:8977501..8980000	contig_31_np1212	8977501	8980000	+	2500	47	125	170.50	1356	141	24	284	98	237.50
contig_31_np1212:8980001..8982500	contig_31_np1212	8980001	8982500	+	2500	3	0	0	33.50	23	22	36	12	12
contig_31_np1212:8982501..8985000	contig_31_np1212	8982501	8985000	+	2500	1	7.40	3.83	6.98	6.78	21.99	11	6.37	25.43
contig_31_np1212:8985001..8987500	contig_31_np1212	8985001	8987500	+	2500	1819.50	1932.50	1668.50	474.50	168	305.50	281	123.50	701.50
contig_31_np1212:8987501..8990000	contig_31_np1212	8987501	8990000	+	2500	1210.50	1779.50	1389.50	299.50	78	272.50	123	88.50	630
contig_31_np1212:8990001..8992500	contig_31_np1212	8990001	8992500	+	2500	0	0.20	0	0.50	2	7.25	0.40	0.25	4.10
contig_31_np1212:8992501..8995000	contig_31_np1212	8992501	8995000	+	2500	32	17.00	6	179.00	14	272.50	297.00	110	231.50
contig_31_np1212:8995001..8997500	contig_31_np1212	8995001	8997500	+	2500	274	699.50	117	747.50	171	382.00	1551.50	132	1196.25
contig_31_np1212:8997501..9000000	contig_31_np1212	8997501	9000000	+	2500	422	1173.50	183	1868.00	191	664.50	2804.00	176	2050.25
contig_31_np1212:9000001..9002500	contig_31_np1212	9000001	9002500	+	2500	1827.00	452	1382.13	607	15	297	657.50	281.50	245
contig_31_np1212:9002501..9005000	contig_31_np1212	9002501	9005000	+	2500	18000.00	3130	5928.00	8791	8786	2515	5072	2825	7505
contig_31_np1212:9005001..9007500	contig_31_np1212	9005001	9007500	+	2500	3954.04	1353.38	3275.65	498.70	1274.12	237.95	163.10	171.75	949.42
contig_31_np1212:9007501..9010000	contig_31_np1212	9007501	9010000	+	2500	6	248.50	34.50	36	29.17	18	6	6	359
contig_31_np1212:9010001..9012500	contig_31_np1212	9010001	9012500	+	2500	163	347.50	156	358.50	147	308	187	168.50	782
contig_31_np1212:9012501..9015000	contig_31_np1212	9012501	9015000	+	2500	24	66	30	68.50	39	44	49	31.50	146.72
contig_31_np1212:9015001..9017500	contig_31_np1212	9015001	9017500	+	2500	400	358	526	436	94	256	236	172	490
contig_31_np1212:9017501..9020000	contig_31_np1212	9017501	9020000	+	2500	233.90	113.82	162.80	93.53	202.60	25.25	64.60	24.19	89.93
contig_31_np1212:9020001..9022500	contig_31_np1212	9020001	9022500	+	2500	10	4	0	34	0	4	4	6	72
contig_31_np1212:9022501..9025000	contig_31_np1212	9022501	9025000	+	2500	37.50	10	6	116	26	34	61.50	18	143
contig_31_np1212:9025001..9027500	contig_31_np1212	9025001	9027500	+	2500	253	194.50	122	654	78	206.50	272.50	168	689.75
contig_31_np1212:9027501..9030000	contig_31_np1212	9027501	9030000	+	2500	1112.50	158.50	281.50	3932.50	901.50	1367.50	2357.50	1425	444.75
contig_31_np1212:9030001..9032500	contig_31_np1212	9030001	9032500	+	2500	36.50	1168.50	444.50	157.48	533.78	595.43	393.29	375.97	2063.76
