# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "10" "-M" "--fraction" "-p" "-t" "gene" "-g" "Name" "-a" "../zenodo_folder/genomes/genomic.gff" "-o" "counts/counts_dfir2.txt" "star_map_dfir2/Dfir-0h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-0h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-0h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir2/Dfir-0h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-0h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-0h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam
RB653_005297	CM069765.1	5844299	5846334	+	2036	21.50	15	22	8	0	0	1	7	21.00
RB653_005298	CM069765.1	5847071	5847649	+	579	74	16	34	0	0	6	10	0	39
RB653_005299	CM069765.1	5847991	5851032	+	3042	186	696	524	714	1556	924	938	510	2524
RB653_005309	CM069765.1	5851014	5854613	-	3600	176	1583.00	260	1398.00	2218.00	2207	957	993.00	3351
RB653_005310	CM069765.1	5855294	5857543	-	2250	507	776.20	353	19613.00	12617.83	35073.22	38742.33	30649.00	14442.06
RB653_005300	CM069765.1	5859942	5861635	+	1694	11441	9119	9714	413	146	314	818	178	4964
RB653_005311	CM069765.1	5861724	5862540	-	817	208	202	262	160.50	15	51.50	73	87	204
RB653_005301	CM069765.1	5862967	5863953	+	987	950.00	556	729.20	1166.58	1579.57	1199.77	1416.18	550.67	1580.82
RB653_005315	CM069765.1	5864245	5864415	-	171	41	18	49	25	6	4	11	14	36
RB653_005302	CM069765.1	5866301	5867376	+	1076	11617	12366	23185	2883	2550	1792	4791	1750	11225
RB653_005312	CM069765.1	5867855	5869804	-	1950	194	200	192	30	18	20	20	20	146
RB653_005313	CM069765.1	5870421	5871859	-	1439	18	14	16	7	2	4	15	6	250
RB653_005303	CM069765.1	5873063	5875597	+	2535	482.99	1475.33	1825.83	2159.79	6657.00	3554.75	2853.65	1804.56	2711.18
RB653_005314	CM069765.1	5875608	5878061	-	2454	70	144	43	421	336	620.40	778	772	952
RB653_005304	CM069765.1	5879146	5883516	+	4371	744	2420.00	2025	4512	6032	7429	5927	2012	8812.33
RB653_005305	CM069765.1	5885092	5886749	+	1658	536	738	302	16846	3300	29216	31996	12985	2644.00
RB653_005316	CM069765.1	5888251	5892001	+	3751	637	5406	1001	1013	6066	7455	2610	3590	13870
RB653_005317	CM069765.1	5892296	5893814	+	1519	8607	4822	7418.00	12208	3812	5133.00	12859.30	4119.60	7366
RB653_005318	CM069765.1	5894210	5898158	+	3949	899.00	2354	830	1229	820	556	472	130	2344.00
RB653_005331	CM069765.1	5898687	5899301	-	615	194	38	165	16	0	4	16	12	138
RB653_005332	CM069765.1	5899918	5901547	-	1630	33365.50	7034	13212	4488	7747	2310	3704	2793	3696.00
RB653_005319	CM069765.1	5901777	5903784	+	2008	8567.11	2481	3932	4372	7967	1934	3348	1864	2473
RB653_005333	CM069765.1	5903721	5907543	-	3823	383	2097	1054	482	70	276	292	384	1525
RB653_005320	CM069765.1	5908223	5909463	+	1241	26271.00	6368.00	7514	3220.00	1250.00	332	362	170	4924.00
RB653_005334	CM069765.1	5909479	5913541	-	4063	428	918	326	2100	1744	2328	1919	1126	2702
RB653_005335	CM069765.1	5913623	5919950	-	6328	378	1266	558	1164	1140	1130	906	792	3104
RB653_005321	CM069765.1	5920532	5924266	+	3735	48	475	286	348	976	956	242	327	973
RB653_005336	CM069765.1	5924300	5926647	-	2348	50	122	28	174	20	292	190	154	178
RB653_005337	CM069765.1	5927393	5928650	-	1258	1388	1026	476	740	2720	182	309	184	1297
RB653_005338	CM069765.1	5928935	5929294	-	360	11393	3194	13820	11007	7944	18744.00	32589.00	15749	11383.00
RB653_010867	CM069765.1	5931662	5931732	-	71	0	0	0	0	0	0	0	0	0
RB653_005322	CM069765.1	5932036	5932832	+	797	212	220	126	24	18	32	52	30	300
RB653_005340	CM069765.1	5932914	5933688	-	775	27648	14841.00	80016.50	2402	2063	784	576	474	6000
RB653_005341	CM069765.1	5934146	5936233	-	2088	1180	1848.00	1014	1778	1683	1393.33	2134	794	2861.00
RB653_005323	CM069765.1	5936361	5937266	+	906	291	326	160	231	68	44	177	68	296
RB653_005342	CM069765.1	5937298	5940297	-	3000	10	18	4	1696	1040	3248	1108	3816	1868.00
RB653_005324	CM069765.1	5940494	5942617	+	2124	6901.11	2528	2809	3511	5795	2378.00	3644.00	2646	3198
RB653_005325	CM069765.1	5943916	5945361	+	1446	52	56	80	1536	611	1839	1017	1380	661
RB653_005343	CM069765.1	5945597	5946760	-	1164	504	198	226	750	421	463	581	369	527
RB653_005326	CM069765.1	5947243	5948674	+	1432	2	4	6	0	4	4	4	4	0
RB653_005344	CM069765.1	5948802	5950348	-	1547	0	0	0	76	8	76	118	64	4
RB653_005327	CM069765.1	5950929	5952216	+	1288	20	130	2	4	0	28	14	12	166
RB653_005345	CM069765.1	5952389	5954357	-	1969	5893.50	1954	3373	2353	2433	1858	2192	1137	2317
RB653_005346	CM069765.1	5954487	5956783	-	2297	1528	1188	1503	3667	3402	1938	3007.33	2961	4203
RB653_005328	CM069765.1	5957766	5960137	+	2372	762	324	1711	774.00	224	327.33	415	436.67	928.67
RB653_005347	CM069765.1	5960221	5963845	-	3625	42	114.03	19.00	38.33	10.33	75.17	36.40	29.40	216.67
RB653_005329	CM069765.1	5967539	5971866	+	4328	316	2620	711	1066.67	9055.00	12549.81	4701.45	6672.72	15450.19
RB653_010868	CM069765.1	5976950	5977020	-	71	0	0	0	0	0	0	0	0	0
RB653_005348	CM069765.1	5978085	5980020	-	1936	16726	5626	13320	1804	6036	2046	1684	1862	3582
RB653_005349	CM069765.1	5980359	5984225	-	3867	304	902	320	1104	124	736	1000	336.00	1934
RB653_005330	CM069765.1	5984887	5986086	+	1200	473	110	432	63	22	83	70	70	106
RB653_005350	CM069765.1	5986096	5987138	-	1043	26	0	2	2050	0	628	584	1422	80
RB653_005351	CM069765.1	5987994	5996971	+	8978	352	4346	512	3498.00	7242	9108	3696	4794	13718.00
RB653_005368	CM069765.1	5997013	5997867	-	855	24	8	8	96	0	18	20	4	88
RB653_010869	CM069765.1	5998924	5998997	+	74	0	2	6	0	0	0	0	0	2
RB653_010870	CM069765.1	6000121	6000194	+	74	0	0	0	0	0	0	0	0	0
RB653_005352	CM069765.1	6001971	6003437	+	1467	1514.75	794	950	2202	504	1796	1254	1205	592
RB653_005353	CM069765.1	6004253	6005479	+	1227	134	0	34	8410	3536	7975	8399	11352	281
RB653_005354	CM069765.1	6006122	6006475	+	354	2	0	4	1314	137	242	854	1396	20
RB653_005355	CM069765.1	6007005	6007370	+	366	206	12	106	22063	13632	21131.00	31955	32679.00	708
RB653_005369	CM069765.1	6007562	6008847	-	1286	986	1542	631	126	62	332	578	400	1342
RB653_005370	CM069765.1	6008986	6011414	-	2429	424	1879	734	4304.00	3472	6076.00	6414	4251	8180.00
RB653_005356	CM069765.1	6012843	6014430	+	1588	1732	1194	1658	448	184	114	390	236	1370
RB653_005371	CM069765.1	6014960	6015286	-	327	12678.50	3871	4913	3270	5228	3177	4218.50	3292	3845.50
RB653_005357	CM069765.1	6017426	6018428	+	1003	22068.50	6276.00	9336.00	5501.00	3188	4372.00	7556.33	5186.00	5840.00
RB653_005372	CM069765.1	6018543	6018749	-	207	904	260	501	218	84	100	137	164	167
RB653_005373	CM069765.1	6019609	6025392	-	5784	106	1895	534	1480	4869	8341	2450	3866	9258
RB653_005358	CM069765.1	6026302	6027643	+	1342	1312	654	1236	807	62	130	194	84	1798
RB653_005359	CM069765.1	6028521	6032479	+	3959	742	2064	430	118	24	66	108	50	2268
RB653_005360	CM069765.1	6032562	6032876	+	315	96	191	33	0	0	10	38	20	227
RB653_005374	CM069765.1	6033410	6036235	-	2826	340	5577	9209	18274	20510.50	20662	14767	17225	21869
RB653_005361	CM069765.1	6037023	6038563	+	1541	410	1416	898	898	912	1806	1036	896	1618
RB653_005375	CM069765.1	6038673	6046053	-	7381	86	1704	252	469.25	3592	3780	866	1171.40	7202.07
RB653_005362	CM069765.1	6046649	6048278	+	1630	2424	2500	3783	1647	2195	903	1748	909	2361
RB653_005363	CM069765.1	6048629	6049911	+	1283	1270.00	1020	1044	3990	1046	2046	4171	2200	1620
RB653_005376	CM069765.1	6049915	6051177	-	1263	39828	1194	6536	43214	78492	17714	24010	23674	9363.33
RB653_010871	CM069765.1	6052430	6052502	+	73	0	0	2	0	0	0	0	0	0
RB653_010872	CM069765.1	6054094	6054166	+	73	0	0	0	0	0	0	0	0	0
RB653_005377	CM069765.1	6054505	6055077	-	573	274	118	286	22	2	12	18	4	110
RB653_005378	CM069765.1	6055488	6058823	-	3336	294	1747.22	901.45	1390.67	655.07	1364.24	1157.40	466.85	2165.19
RB653_005364	CM069765.1	6060207	6063218	+	3012	47	1364	510.20	380.67	1064.40	2303.52	616	998.67	2999.79
RB653_005379	CM069765.1	6063305	6063857	-	553	13133.50	3778	7332	1582	2766	938	1478	1234	2370
RB653_005380	CM069765.1	6064988	6068014	-	3027	292	3485	1210	474	884	448	252	430	3046
RB653_005381	CM069765.1	6068383	6070561	-	2179	1456	752	741	3605	870	2638	4128	4134	3277
RB653_005365	CM069765.1	6071964	6077092	+	5129	476.29	578	208.67	1524.02	625.12	1671.67	1405.40	722.39	2081.73
RB653_005367	CM069765.1	6080534	6083091	+	2558	4241	1843	2506	23953.50	8816	10334	18561.50	10305	7175.50
RB653_005382	CM069765.1	6083231	6085637	-	2407	1091	800	724	574	420	306	189	159	904
RB653_010723	CM069765.1	6085901	6086061	-	161	111.50	38	133	80	29	36	42	126	169
RB653_005383	CM069765.1	6086705	6088087	-	1383	392	428	370	149	210	74	104	80	517.50
RB653_005384	CM069765.1	6089673	6092294	+	2622	218	488	106	153	334	164	228	158	1114
RB653_005401	CM069765.1	6092282	6093598	-	1317	11235.50	4209.00	6804.00	32404.33	44087.00	8793.00	6167	3520.00	8039.00
RB653_005385	CM069765.1	6095247	6096471	+	1225	10	4	6	98	26	356	74	84	26
RB653_005386	CM069765.1	6097268	6099349	+	2082	6099.33	6687.00	14296.00	12910.00	16302	13227.00	14116.00	4787.00	9619
RB653_005387	CM069765.1	6100503	6101876	+	1374	54	44	84	74	62	152	184	76	406
RB653_005388	CM069765.1	6102624	6104353	+	1730	64	36	122	84	80	330	320	256	1020
RB653_010873	CM069765.1	6110230	6110303	-	74	0	0	2	1	2	2	4	2	0
RB653_005389	CM069765.1	6122095	6124235	+	2141	23	39	22	193	94	300.53	284.73	270.33	368.00
RB653_005390	CM069765.1	6125521	6126224	+	704	8	0	4	58	11	124	42	34	42
RB653_005391	CM069765.1	6127262	6128201	+	940	9840	825	6750	9810	13445.00	11315.50	17539	12360	2725
RB653_005392	CM069765.1	6129024	6129953	+	930	4019	130	709	20389	13732	17448	35732	18744.50	7906
RB653_005403	CM069765.1	6129950	6131166	-	1217	7350	24201.33	85601.50	2467	336	338	439	252	17023.50
RB653_010674	CM069765.1	6131563	6131723	+	161	102.50	34	121	75	25	40	41.67	121	164
RB653_005393	CM069765.1	6132341	6134431	+	2091	274	851	404	595	72	542	664	242	1684
RB653_005404	CM069765.1	6134554	6135288	-	735	5823	2618	4809	214	166	114	280	140	1778
RB653_005405	CM069765.1	6135402	6138064	-	2663	244.00	249.00	207.00	997.50	229.00	536.50	872.50	458.50	447.50
RB653_005406	CM069765.1	6138249	6141665	-	3417	267.00	297.00	255.00	515.50	153.00	307.50	413.50	215.50	554.50
RB653_005407	CM069765.1	6144614	6147435	-	2822	136	951	362	466.50	598	650	292	242	1568
RB653_005408	CM069765.1	6147686	6150256	-	2571	2178.00	7366	2728.50	1204	3921	2435	1950	1612	8393
RB653_005394	CM069765.1	6151642	6154977	+	3336	2042	5392	3165	21586	16628	14391.50	11749	20306	8881
RB653_005395	CM069765.1	6155270	6156293	+	1024	12700.00	2512	3242	4618.00	4142	3410	5559	9818	5123
RB653_005396	CM069765.1	6157990	6159154	+	1165	32324	9924	15963.00	4278.50	13946	1309	3692	3026	6388
RB653_005409	CM069765.1	6159026	6163367	-	4342	284	1218	666	2218	938	2590.95	2335	1088.22	2856
RB653_005410	CM069765.1	6164025	6164515	-	491	88	22	76	92	22	120	96	106	38
RB653_005397	CM069765.1	6165636	6168927	+	3292	36	172	24	276	1442	282	166	70	958
RB653_005398	CM069765.1	6169555	6175443	+	5889	774	2376	1408.00	1236	1516	1287	1398	824	1731
RB653_005411	CM069765.1	6174353	6176308	-	1956	1436	98	420	13567	10624.00	13799	19802.50	11226	891
RB653_005399	CM069765.1	6177218	6180905	+	3688	882	878	782	8108	9984	7845	9988	5730	5683
RB653_005412	CM069765.1	6180987	6182897	-	1911	1002	1172	614	412	296	248	280.00	344	1136
RB653_005413	CM069765.1	6182973	6184756	-	1784	404	786	360	336	368	378	358	232	1084
RB653_005414	CM069765.1	6185262	6188045	+	2784	11	1583	54	2	20	90	44	120	3075
RB653_005415	CM069765.1	6188231	6189813	+	1583	4624.00	3916	5810	252	104	116.67	303	82	2426
RB653_005433	CM069765.1	6189716	6193819	-	4104	92	877	380	596	701	1809	967	731	2137
RB653_005434	CM069765.1	6193982	6196495	-	2514	335	1314	363	1542	1160	1203	862	1358	2400
RB653_005435	CM069765.1	6197771	6198244	-	474	20.00	14	6	258.00	63	2175.00	4705.00	3766.17	7053.58
RB653_005436	CM069765.1	6200134	6200607	-	474	31.00	2	2	218.00	108	1470.00	3268.00	2978.50	7320.17
RB653_005437	CM069765.1	6201132	6201811	-	680	8398	2809.33	4350	268	118	116	402	194	2385
RB653_005416	CM069765.1	6202216	6204027	+	1812	42	98	66	48	46	46	40	26	238
RB653_005438	CM069765.1	6204023	6206739	-	2717	838	4017	1710.00	4193.00	12102.00	9033	7872	12434	13370.00
RB653_005439	CM069765.1	6208526	6210124	-	1599	9048	4334	3840	9098	22902	15516	23856.00	14078	8192
RB653_005440	CM069765.1	6211110	6211649	-	540	135	48	134	10	0	7	16	4	76
RB653_005417	CM069765.1	6211830	6212879	+	1050	4062	2060	2878	168	28	82	212	90	1534.00
RB653_005418	CM069765.1	6213025	6215432	+	2408	624	1691.50	834	1639	3024	1960	2524	1170	3418
RB653_005419	CM069765.1	6215770	6217866	+	2097	1034	1773	802	3827	1813	2091	2272	2432	3637
RB653_005441	CM069765.1	6217823	6219186	-	1364	1168	995	300	2911	23479	1207	778	1226	2127
RB653_005442	CM069765.1	6219309	6220881	-	1573	354	786	302	508	271.25	258	538	232	610
RB653_005420	CM069765.1	6221524	6222959	+	1436	4284	10236.00	11920.00	7238	13553	4588	3396	2922	8016
RB653_005421	CM069765.1	6227225	6228193	+	969	288	610	266	73	204	46	127	54	540
RB653_005422	CM069765.1	6228581	6231590	+	3010	70	124	2	236	1104	172	206	44	678
RB653_005423	CM069765.1	6232691	6234605	+	1915	1843	723	1346	1943	1400	1338	2102	898	1798
RB653_005424	CM069765.1	6235315	6235788	+	474	15	6	0	196	25	1114	1658	1821.33	1909.17
RB653_005425	CM069765.1	6236486	6238702	+	2217	4	2	6	1061	52	413	887	1012	172
RB653_005426	CM069765.1	6239753	6240804	+	1052	0	0	0	4320	0	374	818	2664	90
RB653_005443	CM069765.1	6241050	6242514	-	1465	3480	1571	2502	7054	3560	5308	9779	6384	3708.00
RB653_005427	CM069765.1	6243195	6245810	+	2616	214	1464	899	412	188	382	445	174	1060
RB653_005444	CM069765.1	6245887	6249048	-	3162	2782	792	1637	1375	1040	882	1252	722	700
RB653_005445	CM069765.1	6249264	6250310	-	1047	3436	1892	2846.50	644	550	395	679	320	1275
RB653_005428	CM069765.1	6250574	6252313	+	1740	9277.67	6456	7779	2074	694	448	619	219	3348
RB653_005446	CM069765.1	6252381	6253655	-	1275	20671	13073	5021.33	161	228	342	1644	80	8076
RB653_010874	CM069765.1	6255946	6256027	-	82	2	0	0	0	2	0	0	0	0
RB653_005447	CM069765.1	6257156	6258034	-	879	6390	72995.00	131026	454	3536	2817	1934	1664	67034
RB653_005429	CM069765.1	6258332	6260344	+	2013	26	36	29	20	10	16	14	2	66.83
RB653_005448	CM069765.1	6260784	6261623	-	840	45204.00	8216	18940.33	14224	5853	7758	19055.00	10082.00	9359
RB653_005430	CM069765.1	6264786	6271323	+	6538	138	1976	268	1728	3442	2920	1344	1636	4114
RB653_005431	CM069765.1	6271688	6272745	+	1058	9745.00	1126	4224.00	2998.00	2066	1762	2668	1868.00	1856
RB653_005432	CM069765.1	6273044	6275443	+	2400	596	30320	19209.50	717	7494	1888	2088	2268	33393
RB653_005451	CM069765.1	6276959	6277084	+	126	0	0	4	273	68	618	760	1062	320
RB653_005449	CM069765.1	6277077	6278546	-	1470	242	0	8	142677.00	4262	26799	37566	105668.00	4317
RB653_005450	CM069765.1	6279275	6281473	-	2199	1711	442	615	2302.50	2302.00	1451	2360	2198	1124
RB653_005452	CM069765.1	6283719	6284462	+	744	41991.50	1161	13117	22849.00	30315	18334.00	23379.00	17889.00	13233
RB653_005453	CM069765.1	6284855	6290001	+	5147	341	928	373.47	1892.00	500	845.25	400.75	1336.86	2411
RB653_005454	CM069765.1	6290135	6293447	+	3313	232	1712	674	1000	2332	2589.50	1914	864	2958
RB653_005455	CM069765.1	6293652	6295449	+	1798	1045.50	19859	9525.00	2870	10432	15554.00	9192.00	7408	20042.50
RB653_010875	CM069765.1	6296980	6297052	+	73	0	0	0	0	0	2	0	0	2
RB653_005457	CM069765.1	6297565	6299338	+	1774	632	32	46	20117	15156	4179	3763	11674	758
RB653_005471	CM069765.1	6299370	6300945	-	1576	310	326	138	188	122	96	114	75	374
RB653_005458	CM069765.1	6303215	6308661	+	5447	278	2444.99	574.76	1783.48	3598.84	5727.81	1886.94	1132.12	6171.16
RB653_005459	CM069765.1	6309475	6311700	+	2226	2060	813.67	938	4831	1918	4002	5657.00	2626	2949
RB653_005460	CM069765.1	6311887	6313347	+	1461	1404	994	1650	457	112	185	140	61	563
RB653_005472	CM069765.1	6313495	6314781	-	1287	122	8	8	5922	2543	13557	22009.33	6998	2927
RB653_005461	CM069765.1	6315310	6316319	+	1010	0	0	0	0	0	1	1	0	4
RB653_005473	CM069765.1	6316310	6318000	-	1691	42681	17318	30361.00	29571	40696	26607.00	58361	30530.50	23136
RB653_005462	CM069765.1	6318515	6319820	+	1306	526	210	144	616	166	444	531	194	246
RB653_005474	CM069765.1	6319871	6321718	-	1848	214	397	158	551	392	250	446	254	454
RB653_005475	CM069765.1	6321871	6324536	-	2666	449	1679.00	731	1837	1299	2576.00	2405.00	1279.29	3215.00
RB653_005476	CM069765.1	6324977	6327008	-	2032	1122	438	506	1503	515	1036	572.33	270	458
RB653_005463	CM069765.1	6327746	6328756	+	1011	3938	221	1397	15214.00	12658.00	8580.00	17954.50	9217	1736
RB653_005477	CM069765.1	6329152	6334681	-	5530	4722	22602.00	5080	4030.00	2294	2776	4992	969	6670
RB653_005464	CM069765.1	6336594	6337130	+	537	10547.00	1869	4274	3315	1921	1919	3231.00	2477	742
RB653_005478	CM069765.1	6337484	6338641	-	1158	175	30	256	211	228	147	262	73	20
RB653_010876	CM069765.1	6340144	6340216	-	73	0	0	0	0	0	0	0	0	0
RB653_005479	CM069765.1	6340805	6342187	-	1383	9860	2550	3660	1142	1802	1169	1952	1266	758
RB653_005480	CM069765.1	6342416	6346305	-	3890	114	1882	172	854	7107	14939	3459.00	6250.00	12083
RB653_005465	CM069765.1	6347160	6349327	+	2168	1059	1168	929	913	1045	729	879	671	1278.00
RB653_005481	CM069765.1	6349099	6350392	-	1294	1551	420	833	458	178	436	610	545	492
RB653_005482	CM069765.1	6350585	6353924	-	3340	2090	780	4233	9414.50	3225	1768	1078	645	21388
RB653_005483	CM069765.1	6354769	6357564	-	2796	8	6	22	56	48	90	122	76	328
RB653_005484	CM069765.1	6357825	6360522	-	2698	1114	2842	1911	2018	1300	1647	2948	1256	3750
RB653_005485	CM069765.1	6361433	6362789	-	1357	10	174	10	22	6	34	36	12	360
RB653_005467	CM069765.1	6363199	6364463	+	1265	702	200	196	242	86	92	72	52	213
RB653_005468	CM069765.1	6365112	6373001	+	7890	3797.00	3126.00	2736.00	5133.00	5989.50	3391.00	4167.50	2750.50	6358.50
RB653_005469	CM069765.1	6373749	6378201	+	4453	21.00	18.00	14.00	13.00	10.50	76.00	37.50	29.50	134.50
RB653_005486	CM069765.1	6378248	6381047	-	2800	24	526	50	72	42	110	100	38	902
RB653_005470	CM069765.1	6381269	6382861	+	1593	282	972	104	118	130	188	220	112	1116
RB653_005487	CM069765.1	6383093	6386106	-	3014	2070	2380	856	2432	3670	968	1280	638	2800
RB653_005501	CM069765.1	6386791	6388218	-	1428	1501.00	3450	1706	1066	2196	760	727	597	2488
RB653_005488	CM069765.1	6388411	6389237	+	827	188	401	273	48	98	112	134	80	530
RB653_005489	CM069765.1	6389447	6391393	+	1947	586	1146	246	910	920	882	864	364	1169
RB653_005490	CM069765.1	6391695	6393947	+	2253	3117	5528	1892	3308	1900	1780	3413.50	1398	3969
RB653_005502	CM069765.1	6393949	6396472	-	2524	13373.00	394	3795	34705.00	12186	13502	24883	24715.00	7658
RB653_005491	CM069765.1	6399299	6400174	+	876	452	272	537	518.00	210	232	414.00	226	462.00
RB653_005492	CM069765.1	6400294	6401576	+	1283	3899	1410	1922	2955	2660	856	1151	1869	1284
RB653_005503	CM069765.1	6401599	6402604	-	1006	822	513	559	320	122	98	108	126	496
RB653_005504	CM069765.1	6402788	6406368	-	3581	708	2722	910	2811	6322	9013	4060	1978	7034.00
RB653_005493	CM069765.1	6407732	6411581	+	3850	256	2543	561	906	3565	6739.00	2405	3348	7467
RB653_005505	CM069765.1	6411788	6412205	-	418	308	126	194	63	76	66	54	66	153
RB653_005494	CM069765.1	6412323	6413837	+	1515	153	246	69	20	26	30	50	32	195
RB653_005506	CM069765.1	6413275	6417599	-	4325	528	792	362	6682	940	3427	6409	3370	2591
RB653_005507	CM069765.1	6418395	6419090	-	696	712	280	424	350	178	130	190	118	332
RB653_005495	CM069765.1	6419285	6420524	+	1240	340	254	527	468	334	184	302	120	442
RB653_005496	CM069765.1	6422427	6423893	+	1467	2631	102	811	2912	2018	3127	1827.00	3032	861
RB653_005508	CM069765.1	6423130	6425190	-	2061	902	186	250	2321	996	2357	2722	5954	2453
RB653_010877	CM069765.1	6426239	6426309	+	71	0	0	0	0	0	0	0	0	0
RB653_005510	CM069765.1	6427131	6431556	-	4426	1734	2171.00	1144	2344	934	3277	2854	667.00	3129
RB653_005497	CM069765.1	6432022	6432414	+	393	394	159	324	137	26	90	164	46	184
RB653_005511	CM069765.1	6432738	6436480	-	3743	190	1472	572	1882	3783	4170	3075	5529.00	3456.00
RB653_005498	CM069765.1	6438054	6438616	+	563	14589.00	1776	6344	13200.17	8113	5628	9359.00	5863	3219.00
RB653_005512	CM069765.1	6438926	6441920	-	2995	56	224	58	222	496	144	186	73	444
RB653_005499	CM069765.1	6442481	6446790	+	4310	134	1355	436	436	738	1474	366	426	2130
RB653_005500	CM069765.1	6448749	6453040	+	4292	1126.80	1133.65	2066.50	27512.32	23425.52	30401.66	16609.20	17826.17	17775.85
RB653_005513	CM069765.1	6453350	6456572	-	3223	12	8	2	38	8	18	14	26	208
RB653_005514	CM069765.1	6457288	6460009	+	2722	194.46	1407.42	582.56	1785.48	3547.29	1340.92	849.42	934.89	2218.13
RB653_005515	CM069765.1	6463188	6465719	+	2532	197.84	1117.60	719.60	2385.40	2500.77	759.83	424.66	435.48	1780.67
RB653_005516	CM069765.1	6469081	6471836	+	2756	99.95	533.74	318.55	884.42	1893.11	770.31	291.26	261.89	438.76
RB653_005517	CM069765.1	6476026	6478083	+	2058	1223.48	1038.83	621.57	1241.09	1354.62	274.51	107.07	132.93	561.69
RB653_005518	CM069765.1	6480570	6483049	+	2480	36.76	224.81	126.77	92.31	72.54	84.48	30.82	43.37	126.27
RB653_005519	CM069765.1	6487360	6490125	+	2766	113.51	602.10	312.63	345.32	517.32	384.88	122.88	113.88	384.57
RB653_005520	CM069765.1	6495233	6497914	+	2682	32.94	167.19	137.55	161.41	242.93	125.99	33.01	44.63	168.79
RB653_005521	CM069765.1	6501213	6504031	+	2819	67.58	366.96	207.97	99.76	118.20	62.43	16.96	23.33	193.27
RB653_005522	CM069765.1	6505235	6507818	+	2584	28.89	191.55	119.70	153.54	148.60	116.17	56.01	59.15	186.62
RB653_005523	CM069765.1	6513050	6514897	+	1848	33.91	226.90	191.37	195.86	199.35	100.53	32.82	37.45	200.27
RB653_005524	CM069765.1	6515236	6516226	+	991	58	8.67	12	35	32	22	24	24	36
RB653_005525	CM069765.1	6517478	6520264	+	2787	262.50	660.53	414.97	1139.39	1084.64	467.52	243.68	148.33	696.12
RB653_005526	CM069765.1	6521383	6524964	+	3582	2267	3833	1806	7771	5282	5168	7087	1926	7115.00
RB653_005527	CM069765.1	6526291	6527885	+	1595	8504	378	1594	82546.50	49743	53367	120013.00	65998.00	11695
RB653_005528	CM069765.1	6528575	6529996	+	1422	4466.00	1556.00	3366	4157	4540	4673	7550.00	5417.00	4713
RB653_005535	CM069765.1	6529705	6530711	-	1007	2	0	0	117	25	184	81	156	56
RB653_005529	CM069765.1	6531261	6532602	+	1342	1412	1536	962	1184.60	1356	1704.50	1172	922	2711.60
RB653_005536	CM069765.1	6532942	6537295	-	4354	450.50	1232.67	486.61	2698.67	5360.67	3644.00	2085.37	1527	4534.98
RB653_005530	CM069765.1	6539182	6540000	+	819	10779	248	695	167495.33	134589.50	64391.50	135833.50	88711.00	5289.00
RB653_005537	CM069765.1	6540158	6541910	-	1753	652	460	240	172	234	310	529	486	865
RB653_005538	CM069765.1	6542176	6545996	-	3821	574	1614	600	1496	1184	1392	1473	676	2273.00
RB653_005531	CM069765.1	6546830	6549957	+	3128	182	848.00	316	690	1841	1158.25	768	380	2036
RB653_005539	CM069765.1	6550188	6551093	-	906	1466.15	626.90	1962.65	631.67	236.33	472.97	692.03	379	719.84
RB653_005532	CM069765.1	6551175	6552557	+	1383	442	508	618	248.22	302	174	293	184	535
RB653_005540	CM069765.1	6552679	6554928	-	2250	396	842	592	2006	1360	2008	2195	1057	1418
