# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "10" "-M" "--fraction" "-p" "-t" "gene" "-g" "Name" "-a" "../firmibasis_comparative_genomics/05_reference_genomes/ddis_combined_annotation.gff" "-o" "counts/counts_ddis.txt" "star_map_ddis/Ddis-0h-A.bam" "star_map_ddis/Ddis-0h-B.bam" "star_map_ddis/Ddis-0h-C.bam" "star_map_ddis/Ddis-16h-A.bam" "star_map_ddis/Ddis-16h-B.bam" "star_map_ddis/Ddis-16h-C.bam" "star_map_ddis/Ddis-24h-A.bam" "star_map_ddis/Ddis-24h-B.bam" "star_map_ddis/Ddis-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_ddis/Ddis-0h-A.bam	star_map_ddis/Ddis-0h-B.bam	star_map_ddis/Ddis-0h-C.bam	star_map_ddis/Ddis-16h-A.bam	star_map_ddis/Ddis-16h-B.bam	star_map_ddis/Ddis-16h-C.bam	star_map_ddis/Ddis-24h-A.bam	star_map_ddis/Ddis-24h-B.bam	star_map_ddis/Ddis-24h-C.bam
gtf2h5	NC_007087.3	3831161	3831468	+	308	743	425	619	1626	416	37	377	569	270
DDB_G0269908	NC_007087.3	3831693	3832921	-	1229	4331.00	3385	3569	4709.00	2206	1030	3168.00	2076.00	2907.00
DDB_G0270990	NC_007087.3	3834760	3836838	+	2079	20680.00	17486.00	12176	17164.00	10502	12068	10526.00	12194	8322
sec31	NC_007087.3	3837509	3841658	+	4150	822.00	22877.50	4292.00	1306.00	9450.00	15762	3651	7618.00	15822.25
psaA	NC_007087.3	3842009	3844717	+	2709	4679	14077.00	11027	2443	5963	7096	5032	4206	6145
DDB_G0270996	NC_007087.3	3845549	3846750	+	1202	1503	621	520	3926	2095.00	940	1256	1025.00	918
DDB_G0269910	NC_007087.3	3847028	3848476	+	1449	207	4022	1767	148	596	918	1434	1894.00	2198
redB	NC_007087.3	3848909	3851073	-	2165	2215	7552.00	4938	3977.50	5510	10714	6528	8236	7207.50
tpp1	NC_007087.3	3852049	3853851	-	1803	246	210	44	32058.50	19638	9217.50	4767.50	3091.00	4768.50
atp5b	NC_007087.3	3855247	3857504	+	2258	3231	134894.00	78473.50	4702.00	12208	34096.00	32359	30626	55029.50
sno3	NC_007087.3	3858015	3858099	-	85	190	73	84	161	27	42	68	74	28
mpl2	NC_007087.3	3859398	3861680	+	2283	51.00	24	21	4134.50	2490.00	1387.33	1891.50	932	1195.50
mpl1	NC_007087.3	3862624	3865313	+	2690	439.00	721	457	1005.50	3570.50	1887.33	1121.50	1718	2786.50
tRNA-Asp-GUC-2	NC_007087.3	3865846	3865917	+	72	0	0	0	2	0	0	0	0	0
DDB_G0270998	NC_007087.3	3865933	3866881	-	949	6	18	12	82	34	12	80	18	36
DDB_G0269920	NC_007087.3	3868370	3870952	+	2583	148	480	348	640	368	114	330	286	414
xrn2	NC_007087.3	3871046	3874707	-	3662	94	668	296	409	2969	1292	797	2036	2900
vps18	NC_007087.3	3875953	3879788	+	3836	1638	9084.00	5283	1416	4422	2384	2589	5174.00	5498
DDB_G0269926	NC_007087.3	3880004	3882178	-	2175	299	2776.00	1090	458	1336	980	846	1206	1941
DDB_G0270690	NC_007087.3	3883017	3883583	-	567	1500	659	1018	890	213	112	459	449	412
DDB_G0269928	NC_007087.3	3884502	3885310	-	809	46	86	38	12	0	32	8	36	20
DDB_G0269930	NC_007087.3	3886301	3886597	+	297	4	4	6	0	0	0	8	12	2
DDB_G0270692	NC_007087.3	3887599	3890811	-	3213	259	925	592.00	836	1736	991	1411	2159	2354
arcD	NC_007087.3	3892076	3893050	+	975	54042.00	22002.50	34645.00	15557.00	2823.50	1304	14379.00	11707.50	7707.00
uap56	NC_007087.3	3893359	3895841	-	2483	4384.00	15227.00	23464.00	3337	9231.00	11989	10184.50	11786.00	12408
DDB_G0269934	NC_007087.3	3897216	3903350	+	6135	598	11966	3242	636	10634.00	8519	3827.40	11518	17510
DDB_G0269936	NC_007087.3	3903678	3904826	+	1149	380	233	308	365	112	30	131	128	132
osbB	NC_007087.3	3904926	3906193	-	1268	4	0.33	4	3181	692	197	277	526	306
osbC	NC_007087.3	3906624	3907837	-	1214	224	12	22	5405	2644	3089	15709.00	16506.50	14121
DDB_G0270694	NC_007087.3	3908437	3910342	-	1906	1031	1360	793	2018	1450	2080	1352	1233	1216
DDB_G0269942	NC_007087.3	3911017	3912100	+	1084	1207.00	886	1390.00	1497	464	174	772	1232	651
DDB_G0269944	NC_007087.3	3913001	3914017	+	1017	0	0	0	33	14	42	414	303	468
mpdu1	NC_007087.3	3914310	3915463	+	1154	11060	5046	7845	5557	1064	250	3311	2474	2671
DDB_G0269946	NC_007087.3	3915625	3915986	-	362	2343	725	1172	1945	576	170	1039	1123	832
tnpo	NC_007087.3	3916816	3919967	+	3152	6312	15118	9654	2313	6876	7330	5537.50	4522	6885
serC	NC_007087.3	3920593	3921886	+	1294	2674	1926	2478	384	164	552	1137	1158	1038
DDB_G0269952	NC_007087.3	3922020	3922814	-	795	440	210	274	1185	428	140	475	370	356
DDB_G0269954	NC_007087.3	3923641	3926025	+	2385	682	7600.00	9771.00	100	138	262	934	4914.00	3535.00
DDB_G0269956	NC_007087.3	3927053	3927940	-	888	0	2.65	0	1.07	5.06	15.94	1.83	3.33	8.47
tRNA-Val-CAC-1	NC_007087.3	3928023	3928095	-	73	0	0	0	0	0	0	0	0	0
DDB_G0269958	NC_007087.3	3929456	3929821	-	366	27.50	6	8.50	25.90	45.50	38.67	10.50	9	14
DDB_G0270696	NC_007087.3	3930627	3931600	-	974	4	2	0	8	6	4	14	10	0
DDB_G0269960	NC_007087.3	3932800	3933662	+	863	0	0	0	2	0	0	4	0	0
DDB_G0269962	NC_007087.3	3933879	3936245	-	2367	341	1173.00	575.67	468	1147.19	822	589	982.29	1395.45
cxeA	NC_007087.3	3937103	3937960	+	858	42379	19945.00	28167	19818	3816	4465	9487	6559	6163
DDB_G0269964	NC_007087.3	3938864	3940930	+	2067	761	1013.90	791.40	118	56	268	1475	1745	1614
ddx1	NC_007087.3	3941617	3944019	+	2403	972	4677	1948	462	802	464	970	1013	1364
DDB_G0270698	NC_007087.3	3944438	3944996	+	559	834	447	462	328	120	46	396	356	182
DDB_G0269968	NC_007087.3	3945381	3946280	-	900	3608	2465	1742	5150	1767	921	1399	1203	1375
DDB_G0269970	NC_007087.3	3946896	3947753	-	858	1908	142	199	11036	1142	886	5227.00	3267	1459
fttB	NC_007087.3	3949672	3950633	+	962	12127.00	86438.83	73889.00	4712.00	27470.00	32799.00	27013.50	47946.50	50022.00
sas10	NC_007087.3	3952196	3954580	-	2385	314	806	666	34	104	282	250	1132	845
DDB_G0269974	NC_007087.3	3955288	3956544	+	1257	349	140	196	414	186	106	283	358	304
DDB_G0269976	NC_007087.3	3956916	3959123	+	2208	945	4182	1940	2860	3204	1492	2881	2946	2852
DDB_G0269978	NC_007087.3	3960032	3961552	+	1521	10	14	8	52324.50	16328	6515	6053	3191.50	4628
drpp30	NC_007087.3	3962023	3963455	+	1433	392	1134	992	352	982	620	698	1294	1116
pks3	NC_007087.3	3963577	3972340	-	8764	40	235	80	1536	3018	1042	750	1328	1815
DDB_G0269982	NC_007087.3	3972852	3974733	-	1882	2044	1740	1079	2818	1933	2605	2142	1864.00	1929
DDB_G0269984	NC_007087.3	3976381	3976770	-	390	7	0	0	8	0	10	0	0	2
DDB_G0269986	NC_007087.3	3977474	3979864	+	2391	120	304	204	70	202	32	144	364.00	342
DDB_G0294597	NC_007087.3	3979902	3981306	-	1405	2938	2957	4658	1134	505.50	474	1322	1316	771
DDB_G0271002	NC_007087.3	3981529	3984295	-	2767	577.00	747	471	462.75	579	333	469.50	515	616
DDB_G0269988	NC_007087.3	3985001	3985504	+	504	500	188	234	1239	506	113	496	506	326
tbcE	NC_007087.3	3986134	3987976	+	1843	239	238	194	347	248	182	230	206	202
DDB_G0269992	NC_007087.3	3988412	3989286	+	875	4511	2628	1819	8381.33	3445	5937.00	3556	2528	2537
fpaA	NC_007087.3	3989908	3990396	-	489	28728.66	17260.33	18843.99	12775.66	5533.00	11290.67	14166.00	12091.00	10723.00
DDB_G0269994	NC_007087.3	3990838	3992071	+	1234	2720.00	2276.00	1928	1855	1478.40	1622	1319	1507.00	1268
rnf10	NC_007087.3	3992422	3995058	+	2637	301	2372	967	288.00	1380	284	767	1271.00	1726
DDB_G0269998	NC_007087.3	3995432	3998774	+	3343	0	0	0	336	362	254	142	110	138
DDB_G0270000	NC_007087.3	3999184	4000647	+	1464	116	22	22	2326	1096	486	702	816	481
DDB_G0270002	NC_007087.3	4001179	4002462	+	1284	68	62	16	150	88	16	48	48	38
DDB_G0270700	NC_007087.3	4002803	4005323	+	2521	342	406	140	78	90	84	270	172	200
DDB_G0271004	NC_007087.3	4005997	4007094	-	1098	0.20	0	0	0	0.22	0.20	0.33	1.58	2.12
DDB_G0271006	NC_007087.3	4008027	4010233	-	2207	10	3.62	8.29	468	126.20	44	18.40	210.69	53.67
tRNA-Tyr-GUA-3	NC_007087.3	4009415	4009497	-	83	0	0	0	0	0	0	0	0	0
DDB_G0270004	NC_007087.3	4011450	4011893	-	444	0	0	0	2	0	411	5540	27484	5186
DDB_G0271008	NC_007087.3	4013016	4014043	-	1028	2	0	0	6	10	15	476	299	143
DDB_G0271010	NC_007087.3	4014521	4015187	+	667	484	319	460	1012	300	178	497	524	379
mekA	NC_007087.3	4015409	4017699	-	2291	1776	1666.00	1230	1186	1132	1597.00	1620	1122	1220.00
jcdI	NC_007087.3	4018580	4021604	-	3025	1546	6294	2380	846	3124	1833	5772	5654	5725
DDB_G0270008	NC_007087.3	4022273	4022909	+	637	2661.40	25259.90	29426.72	7424.40	12494.98	21957.50	20384.50	22614.46	17872.62
DDB_G0270010	NC_007087.3	4023401	4023804	+	404	2	0	4	16	4	18	37	124	32
DDB_G0270012	NC_007087.3	4024276	4024998	+	723	25705.50	12650	17028	36391.50	10424	39125	20792.00	13382	7627
DDB_G0270014	NC_007087.3	4026325	4027243	+	919	1934	1493	1126.00	1764	1603.00	1906	1260	962	1154
pmpA	NC_007087.3	4028749	4029268	+	520	7186	2001	3877	31646.00	11064	2148.00	8638	9350.00	5453
DDB_G0270016	NC_007087.3	4029381	4030378	-	998	24	0	6	684	168	467	220	121	128
DDB_G0270018	NC_007087.3	4030543	4031583	-	1041	1294	777	911	2942	728	1321	876	358	513
sf3a3	NC_007087.3	4032294	4034133	+	1840	332	410	262	224	266	178	236	324	334
DDB_G0270702	NC_007087.3	4034417	4035076	+	660	75	152	78	4	0	0	71	41	70
DDB_G0270704	NC_007087.3	4035400	4038553	+	3154	921	1661	906	50	36	24	1014	415	820
rnu2g	NC_007087.3	4038698	4038959	-	262	0	0	4	0	4	0	0	8	0
DDB_G0270706	NC_007087.3	4039293	4040600	-	1308	276.00	495.83	284.57	20	14.67	17	54.67	119.17	113.50
DDB_G0270022	NC_007087.3	4041315	4042649	+	1335	1630	1984	1816	886	474	398	634	1038	748
mgp2	NC_007087.3	4042887	4045665	-	2779	538	5854.50	2473	216	1078	916	592	1663.80	3451.50
gefE	NC_007087.3	4047424	4051387	+	3964	1874	4973	2765.00	5638.29	7077	6686.00	6088	6679	9035
DDB_G0270026	NC_007087.3	4051948	4052745	+	798	3092	2848	2944	1384	702	520	1194	1522	1502
DDB_G0270028	NC_007087.3	4053112	4054599	+	1488	4842	5942	4529	6924.50	3078	5405.00	3472	2036	2517
DDB_G0271012	NC_007087.3	4054671	4057974	-	3304	54	48	22	121	96	46	62	30	60
DDB_G0270030	NC_007087.3	4058777	4059949	+	1173	2657.00	2784	2493	80	26	22	592	280	456
DDB_G0270032	NC_007087.3	4060239	4061396	+	1158	663.00	761.50	595	102	37	24	139	90	160
DDB_G0270708	NC_007087.3	4062615	4066228	-	3614	1055	1089	1142	289	240	138	1311	776	1369
DDB_G0270034	NC_007087.3	4066936	4067804	+	869	8370.00	5097.67	6790.80	6142.33	3052.33	5957.00	4542.67	5193.15	3924.67
ppp2r4	NC_007087.3	4068160	4069244	+	1085	4026.00	2063	2334.00	3745	1114	1042	1440	1276	1236.00
hmgA	NC_007087.3	4072747	4074515	+	1769	5011	6076	3722.00	5787.00	7029.00	12457	9376.67	8201	9723
DDB_G0270038	NC_007087.3	4074913	4075404	-	492	24	102	120	16	4	12	32	36	90
DDB_G0270040	NC_007087.3	4075572	4079519	-	3948	468	768	456	393	576	508	474	540	737
DDB_G0270710	NC_007087.3	4079745	4080356	-	612	2	0	4	6	2	73	24	235	30
ascc3l	NC_007087.3	4082408	4089294	-	6887	444	6942	2583	868	3544	2330	940	3211	4873
DDB_G0271014	NC_007087.3	4089972	4092037	+	2066	38	421	124.40	162.67	424	390.00	176	292	580
DDB_G0270044	NC_007087.3	4092193	4093572	-	1380	1531	1588	1128	1424	1951	894	1413	2048	1864
DDB_G0270046	NC_007087.3	4094301	4096106	+	1806	106	234	118	354.00	904	298	549	280	775.40
DDB_G0270714	NC_007087.3	4096586	4097420	+	835	22	6	16	48	18	84	135	196	64
DDB_G0270718	NC_007087.3	4098007	4102857	+	4851	1224	1954.00	928	212	98	134	1662	2997.67	1427
DDB_G0270048	NC_007087.3	4103221	4104786	+	1566	330	422	176	82	26	14	198	152	238
DDB_G0270050	NC_007087.3	4105655	4106522	+	868	4596.00	2343.00	1888	4114.50	347	641	8053	5320	2673
DDB_G0270052	NC_007087.3	4106977	4111104	-	4128	54	182	88	50	18	68	65	80	140
DDB_G0270054	NC_007087.3	4111305	4112469	+	1165	20	10	10	12	8	4	22	20	10
DDB_G0271016	NC_007087.3	4112718	4117547	-	4830	2328.33	2414.00	1658.67	622	788	800	1411.29	1420.67	1230.40
DDB_G0271018	NC_007087.3	4119220	4122363	-	3144	1.20	186.98	32.73	0	17.73	6.48	5.65	43.86	78.35
DDB_G0271020	NC_007087.3	4122654	4123988	-	1335	1	1	0.62	1	0.70	0	0.67	0	2.50
tRNA-Ile-AAU-1	NC_007087.3	4125226	4125298	+	73	0	0	0	0	0	0	0	0	0
DDB_G0270720	NC_007087.3	4125800	4127359	+	1560	98	50	84	10	2	4	54	58	30
DDB_G0270722	NC_007087.3	4127506	4130007	-	2502	59	92.50	70	214	608	1954	16338.50	31160	12358.50
DDB_G0270056	NC_007087.3	4130694	4135261	-	4568	60	600	240	787.25	1852.42	955	647.33	834.25	1733.42
adcC	NC_007087.3	4136186	4138233	+	2048	4195	6314	5517	498	370	516	4666	2322	2400
DDB_G0271024	NC_007087.3	4138891	4141933	+	3043	333	647	332	181	320	234	665	600	537
DDB_G0270058	NC_007087.3	4143232	4147175	+	3944	1617.49	1900.99	1254.49	208.00	217.50	146.00	1522.99	1706.49	2135.49
DDB_G0270060	NC_007087.3	4148273	4152208	+	3936	1586.49	1240.99	1128.49	240.00	208.50	146.00	1223.99	1385.49	2342.49
DDB_G0270062	NC_007087.3	4152838	4157625	+	4788	236	692.50	422	121	144.50	48	294.30	687.50	669.33
DDB_G0271026	NC_007087.3	4157920	4158806	-	887	0.22	2.29	0.20	0	1.25	2.89	0.20	1.44	3.29
tRNA-Lys-UUU-6	NC_007087.3	4158870	4158942	-	73	0	0	0	0	0	0	0	0	0
DDB_G0270064	NC_007087.3	4159771	4160625	+	855	2.33	2.22	0.76	0	1	0	0.33	2	1
DDB_G0271028	NC_007087.3	4160763	4164087	+	3325	23.33	243.40	45.73	15.00	34.00	6.07	16.33	45.40	50.58
tRNA-Ile-AAU-4	NC_007087.3	4163571	4163643	-	73	0	0	0	0	0	0	0	0	0
DDB_G0270066	NC_007087.3	4165016	4171458	-	6443	154.00	597.50	270.00	212.00	720.00	174.00	376.00	682.00	607.00
DDB_G0270724	NC_007087.3	4171726	4173261	-	1536	98	59	23	22	26	9	119	68	96
egeB	NC_007087.3	4173872	4175149	+	1278	7313.00	6725.00	3994.00	2413	1466	2202	4967.00	3966	3512
DDB_G0270068	NC_007087.3	4175523	4179514	+	3992	126	1308	428	434	1088	374	377.50	792	1369
DDB_G0270070	NC_007087.3	4180324	4181863	+	1540	17039.00	13264	12700.00	1351	236	690	4075	3602	3071
DDB_G0270072	NC_007087.3	4182087	4183901	-	1815	68	103.35	36.83	187.01	418.95	222.31	253.93	335.57	554.66
tRNA-Ala-UGC-1	NC_007087.3	4185581	4185676	-	96	8.67	4	7.67	1	0	0	0.67	0	1.67
DDB_G0270074	NC_007087.3	4187072	4188735	-	1664	1198	522	708	1952	1250	2555	2638.00	3254	2585
DDB_G0270076	NC_007087.3	4189203	4189916	-	714	180.00	122.00	117.50	261.50	125.00	76.50	139.50	713.17	142.50
DDB_G0270078	NC_007087.3	4191196	4191909	-	714	112.00	37.50	57.00	83.00	30.50	16.00	67.00	419.50	65.50
DDB_G0270080	NC_007087.3	4192479	4192823	-	345	0	0	0	42	8	2	7	5.00	3
DDB_G0270082	NC_007087.3	4193386	4193565	+	180	0	0	0	11	0	0	0	6	0
DDB_G0270084	NC_007087.3	4193659	4193884	+	226	2	0	0	59	4	1	2	10	0
DDB_G0270086	NC_007087.3	4194168	4194846	-	679	680	124	492	43350.00	11970	9687	4549	14029	4328
DDB_G0270088	NC_007087.3	4195432	4197111	-	1680	4321	3266	3591	5929	64765.00	45996	17174.00	33625.00	24412
DDB_G0270090	NC_007087.3	4198052	4198825	+	774	274	60	102	18233.00	5904.00	2876	8539.00	6329	4119
DDB_G0270092	NC_007087.3	4199147	4199917	+	771	8	8	4	144	64	13	97	78	94
DDB_G0271030	NC_007087.3	4200165	4202439	-	2275	1432	771	796	2121	755.50	961	1886.00	1709.00	1403
tRNA-Asp-GUC-3	NC_007087.3	4201373	4201444	+	72	0	0	0	0	0	0	0	0	0
DDB_G0270094	NC_007087.3	4203953	4204731	+	779	8	1	9	59	55	16	16	87	26
DDB_G0270096	NC_007087.3	4205387	4207964	-	2578	1070	7666	4453	968	3466	2085	1424	2616	2453
DDB_G0270098	NC_007087.3	4208288	4210353	-	2066	52662.00	45793.00	35181.50	65959.50	48947.00	51537.00	47433.00	44508.00	36274.50
DDB_G0270100	NC_007087.3	4212241	4214067	+	1827	1748	1339	564	348	234	510	1224	602	750
tRNA-Thr-AGU-10	NC_007087.3	4214694	4214765	+	72	0	0	0	2	0	0	0	2	0
DDB_G0270726	NC_007087.3	4216280	4219039	+	2760	18586	6624	15070.00	2618	574	10542	12094	5408	4896
mkcF	NC_007087.3	4222376	4224477	-	2102	4813.00	9467.50	5062	5943	10095	7835.67	10371.00	7342	9570
DDB_G0270104	NC_007087.3	4225842	4227446	-	1605	2507.00	1966	1108	2938	1628.50	1314	1247	731	1026
DDB_G0271032	NC_007087.3	4228148	4232826	-	4679	44	179	73	7	4	6	51	66	147
DDB_G0270728	NC_007087.3	4234555	4235228	-	674	2.00	2	5	2	3	0	10	2	10
fslB	NC_007087.3	4235323	4237343	-	2021	222	54	140	79	21	61	1033	332	674
DDB_G0270106	NC_007087.3	4238878	4241893	-	3016	2118.00	8062.50	5993	2014	12934.00	13550	5915	14019.00	14014.00
dhx33	NC_007087.3	4244035	4246332	+	2298	82	84	64	64	130	84	164	478	312
DDB_G0270732	NC_007087.3	4247306	4249429	+	2124	0	0	0	0	2	2	2	0	0
tRNA-Asp-GUC-5	NC_007087.3	4249798	4249869	-	72	0	0	0	0	0	0	0	0	0
tRNA-Asp-GUC-4	NC_007087.3	4250554	4250625	-	72	0	0	0	0	0	0	0	0	0
DDB_G0270112	NC_007087.3	4251451	4253061	-	1611	197	154	122	1723	2148	4137.00	2574	3759	3546.00
DDB_G0271034	NC_007087.3	4256212	4260120	+	3909	308	290	102	394	157	88	129	310	178
DDB_G0270114	NC_007087.3	4260144	4261313	-	1170	311	230	212	26	6	0	168	70	66
DDB_G0270116	NC_007087.3	4262007	4262567	+	561	1133	1146	928	422	195	127	393	248	338
DDB_G0271036	NC_007087.3	4262689	4263138	+	450	2346	1759	1145	839	422	597	534	460	496
DDB_G0271038	NC_007087.3	4263564	4263758	+	195	2	2	2	22	0	0	4	2	2
atg6A	NC_007087.3	4264499	4268846	+	4348	331	652	376	960.00	1430	802	753	1148	1160
rab11A	NC_007087.3	4269122	4270264	-	1143	8043.75	11105.00	11055.00	16038.17	15676.00	19343.00	14612.00	18508.50	14599.00
DDB_G0270118	NC_007087.3	4271883	4272478	-	596	2303	1048	1411	7171	1694	3363	1848.00	2566	1406
sdhB	NC_007087.3	4273481	4274624	+	1144	24763.50	16979.50	15771	25018	7715	8788	8473	6650.50	6905
DDB_G0270734	NC_007087.3	4274869	4276719	-	1851	68.06	179.28	66.50	38.40	229.61	121.57	71.71	184.87	326.72
rasW	NC_007087.3	4277085	4277826	-	742	1478	633	837.00	2704.50	2924.00	2436.00	4435.83	7413.50	2660.00
rasV	NC_007087.3	4279831	4280520	-	690	46	10	38	6079	1804.50	1203	1324.50	1852	571
rasX	NC_007087.3	4281896	4282537	-	642	1644	1391	933	14954.50	807	1502	5345.33	1891	1356
rasY	NC_007087.3	4283626	4284369	-	744	655	395	435.00	2427.50	434.00	252	4252.83	4346.50	1822.00
ints2	NC_007087.3	4285180	4289651	+	4472	188	654	346	394	760	283.50	580	1190	916
DDB_G0270128	NC_007087.3	4289930	4292995	+	3066	240	722	556	322	848	468.00	452	870	994
DDB_G0270130	NC_007087.3	4293863	4295737	+	1875	1223	5155	1931	1618	1980	1187	1326	1791	1824
DDB_G0270132	NC_007087.3	4296112	4296573	+	462	3063	2411	2051	317	50	95	606	416	219
DDB_G0270134	NC_007087.3	4297045	4297503	+	459	2590	1446	2226	2057	360	632	1412	1810	580
DDB_G0270136	NC_007087.3	4297732	4298097	-	366	4	0	4	0	0	0	0	0	0
tRNA-Val-AAC-4	NC_007087.3	4298314	4298387	-	74	0	0	0	0	0	0	0	0	0
rasU	NC_007087.3	4299011	4299652	+	642	84	70	42	190	58	42	326	122	218
rasZ	NC_007087.3	4300316	4300960	+	645	864	527	250	4094	593	304	2990	1277	1593
tRNA-Val-AAC-3	NC_007087.3	4301392	4301465	-	74	0	0	0	0	0	0	0	0	0
DDB_G0270142	NC_007087.3	4301958	4302131	-	174	4	2	2	0	0	4	2	0	2
DDB_G0270144	NC_007087.3	4302709	4303116	+	408	0	0	0	10	8	0	2	36	22
DDB_G0270146	NC_007087.3	4304005	4305998	-	1994	3199	2252	1115	458	330	546	1739	1537	1353
DDB_G0270738	NC_007087.3	4307771	4308595	-	825	324	164	192	198	84	40	185	312	210
DDB_G0270740	NC_007087.3	4309867	4310947	+	1081	0	0	0	0	0	0	1	0	0
cpsf4	NC_007087.3	4311820	4313408	+	1589	858	1031	906	774	630	607	758	704	644.40
DDB_G0270742	NC_007087.3	4313687	4314966	-	1280	792.00	1653.42	1045.33	1180.25	3787.42	5974.00	2292.12	3197.79	4309.62
DDB_G0270150	NC_007087.3	4316335	4319082	+	2748	202	354	254	322	264	94	276	442	342
vps26	NC_007087.3	4319399	4321235	-	1837	21180	16393	18163	8512	3810	3420	10427	8315	8922.00
maspS	NC_007087.3	4321908	4323986	-	2079	870	728	1002	457	781	1054	524	1008	892
DDB_G0270154	NC_007087.3	4327219	4328630	+	1412	10	28	86	22831.00	7135	4799	12529.50	4010.00	5223
DDB_G0270156	NC_007087.3	4329080	4331994	-	2915	130	714	804	14	67	63	117	648	878.29
DDB_G0270744	NC_007087.3	4332329	4335222	-	2894	55	1261.00	728.00	218	1376	500	377	763	1343
DDB_G0270746	NC_007087.3	4336075	4337602	-	1528	2484	2292	2009	2195	1272	947.00	1568	1310	1206
DDB_G0270158	NC_007087.3	4337917	4338637	+	721	368	332	254	625	283	218	314	292	284
tRNA-Val-AAC-2	NC_007087.3	4338908	4338981	+	74	0	0	0	0	0	0	0	0	0
DDB_G0270160	NC_007087.3	4339530	4340174	+	645	133.33	61.00	82.00	1043.33	285.33	229.00	151.33	131.33	114.00
DDB_G0271042	NC_007087.3	4340831	4344152	+	3322	103.33	56.67	39.33	57.00	18.87	54.00	122.53	143.20	91.52
allB2	NC_007087.3	4345093	4346771	+	1679	6	6	4	3690	1076	476	784	1758	730
DDB_G0271044	NC_007087.3	4346844	4349734	-	2891	1604	1550	1066	1510	960	432	1356	1167	1004
DDB_G0270164	NC_007087.3	4350714	4350986	+	273	3285	938	977.00	664	132	519.00	1614.00	819.00	880.00
DDB_G0270748	NC_007087.3	4351183	4351951	+	769	86	12.50	18	22	12	34	40	36	70
DDB_G0270166	NC_007087.3	4352624	4352878	+	255	174	126	77	352	190	184	246.00	261.00	168.00
DDB_G0270750	NC_007087.3	4356679	4358223	+	1545	43	50	26	11301.00	8773.50	7442	4542.00	4145.00	5186
DDB_G0270168	NC_007087.3	4358663	4359839	+	1177	1583	1023	1378	2549.00	1191	546	1094.00	992	1084.00
DDB_G0270170	NC_007087.3	4360881	4366105	+	5225	600	6877.00	3366.33	1780	20476.00	14499.00	5392.00	9575.00	17623.00
DDB_G0270172	NC_007087.3	4366498	4367403	-	906	50	50	36	4	0	10	61	88	53
aprt	NC_007087.3	4368158	4368757	+	600	3340	1409	1938	1497	625	1956	2185	2047	1813
DDB_G0270176	NC_007087.3	4369737	4374066	+	4330	1255	2627	1274	2403	4028	3156	3931	3410	5349
r30	NC_007087.3	4375331	4375388	-	58	0	2	0	2	1	10	15	34	7
wdr85	NC_007087.3	4375992	4377095	-	1104	99	102	102	26	12	18	122	132	114
DDB_G0270180	NC_007087.3	4377432	4377910	+	479	1521	688	933	1964	248	96	571	448	479
DDB_G0270182	NC_007087.3	4377987	4379075	-	1089	320	236	328.33	244	208	90	248	412.33	378
DDB_G0270184	NC_007087.3	4379266	4380433	-	1168	7329.33	6223	6876	3663	1076	446	2694	2350	2252.00
DDB_G0270186	NC_007087.3	4381272	4381856	+	585	620	182	480	76	16	112	177	114	103
psmD6	NC_007087.3	4382128	4383766	+	1639	15032.00	10600	12215	6937	2838	1122	5277	2758	3420
DDB_G0270190	NC_007087.3	4384621	4386448	-	1828	112.33	148	246	120333.50	63150.00	66452.00	35795	33344.00	18886.29
DDB_G0270192	NC_007087.3	4389266	4390889	+	1624	1159	861	1091	530	162	69	494	355	321
DDB_G0270194	NC_007087.3	4391158	4391944	+	787	2124	1564	1870	3575	860	266	1072	1209	639.75
DDB_G0270752	NC_007087.3	4392160	4393069	+	910	13941.50	7703	10136	2128	567	322	2650	1829	2012
DDB_G0270196	NC_007087.3	4393614	4395336	+	1723	5156	3380	4497.00	3042	1991.00	450	1911	2180.00	2102
hcpC	NC_007087.3	4395945	4396774	+	830	10	0	4	68	70	106	50	130	64
DDB_G0270200	NC_007087.3	4397167	4399546	-	2380	497	1430.69	767.67	507.29	764.30	598	504	884.90	1026.27
DDB_G0270202	NC_007087.3	4400104	4400817	+	714	654	530	730	104	34	276	286	623	372
crtp3	NC_007087.3	4401703	4403287	+	1585	2270.00	1201	1027	395	114	278	1178	1253.50	1027
DDB_G0270206	NC_007087.3	4404424	4408096	+	3673	95	583	284	113	432.20	212	192	191	399
hspB	NC_007087.3	4410084	4412006	-	1923	39462	95373	68133	137489.50	172537	158754.00	56381.00	67822.00	58398.00
DDB_G0270208	NC_007087.3	4413499	4414682	-	1184	86	76	36	14	0	3	36	22	8
cbpJ	NC_007087.3	4415136	4415868	-	733	818	608	526	134	16	16	356	32	90
DDB_G0270212	NC_007087.3	4416314	4417227	-	914	5760.25	17986.26	3132.59	324.50	60.00	259.20	1761.69	374.50	384.17
DD7-1	NC_007087.3	4418564	4419469	-	906	9222.02	30820.08	4977.02	513.50	133.00	282.40	3221.73	651.17	576.17
DDB_G0270216	NC_007087.3	4420069	4423204	-	3136	48	12	2	22	10	15	42	22	28
vps16	NC_007087.3	4423807	4426401	+	2595	1453	5747	3937	624	1604	977	1766	1478	2797
